# Pointwise relative error of two-stream fit to Zheleznyak (1982)
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   rel_error_pct  : |K_twostream - K_zheleznyak| / K_zheleznyak * 100  [%]
#
#                    chi           rel_error_pct
          1.45842549e-02          3.07936444e-01
          1.46423302e-02          3.07797552e-01
          1.47006368e-02          3.07658122e-01
          1.47591756e-02          3.07518154e-01
          1.48179475e-02          3.07377644e-01
          1.48769534e-02          3.07236591e-01
          1.49361943e-02          3.07094992e-01
          1.49956710e-02          3.06952846e-01
          1.50553847e-02          3.06810151e-01
          1.51153361e-02          3.06666904e-01
          1.51755262e-02          3.06523103e-01
          1.52359560e-02          3.06378747e-01
          1.52966265e-02          3.06233833e-01
          1.53575385e-02          3.06088359e-01
          1.54186931e-02          3.05942323e-01
          1.54800912e-02          3.05795724e-01
          1.55417338e-02          3.05648558e-01
          1.56036219e-02          3.05500824e-01
          1.56657564e-02          3.05352519e-01
          1.57281384e-02          3.05203642e-01
          1.57907687e-02          3.05054191e-01
          1.58536485e-02          3.04904162e-01
          1.59167786e-02          3.04753555e-01
          1.59801601e-02          3.04602367e-01
          1.60437940e-02          3.04450595e-01
          1.61076814e-02          3.04298238e-01
          1.61718231e-02          3.04145294e-01
          1.62362202e-02          3.03991759e-01
          1.63008738e-02          3.03837633e-01
          1.63657848e-02          3.03682912e-01
          1.64309543e-02          3.03527595e-01
          1.64963833e-02          3.03371680e-01
          1.65620728e-02          3.03215163e-01
          1.66280239e-02          3.03058044e-01
          1.66942377e-02          3.02900319e-01
          1.67607151e-02          3.02741987e-01
          1.68274572e-02          3.02583045e-01
          1.68944651e-02          3.02423490e-01
          1.69617398e-02          3.02263322e-01
          1.70292825e-02          3.02102536e-01
          1.70970940e-02          3.01941132e-01
          1.71651756e-02          3.01779107e-01
          1.72335284e-02          3.01616458e-01
          1.73021533e-02          3.01453183e-01
          1.73710514e-02          3.01289280e-01
          1.74402239e-02          3.01124747e-01
          1.75096719e-02          3.00959581e-01
          1.75793964e-02          3.00793779e-01
          1.76493986e-02          3.00627340e-01
          1.77196795e-02          3.00460262e-01
          1.77902403e-02          3.00292541e-01
          1.78610820e-02          3.00124175e-01
          1.79322059e-02          2.99955163e-01
          1.80036130e-02          2.99785501e-01
          1.80753044e-02          2.99615187e-01
          1.81472813e-02          2.99444219e-01
          1.82195448e-02          2.99272595e-01
          1.82920961e-02          2.99100311e-01
          1.83649363e-02          2.98927366e-01
          1.84380665e-02          2.98753757e-01
          1.85114879e-02          2.98579482e-01
          1.85852017e-02          2.98404538e-01
          1.86592091e-02          2.98228923e-01
          1.87335111e-02          2.98052634e-01
          1.88081090e-02          2.97875669e-01
          1.88830040e-02          2.97698025e-01
          1.89581972e-02          2.97519700e-01
          1.90336898e-02          2.97340691e-01
          1.91094831e-02          2.97160997e-01
          1.91855781e-02          2.96980613e-01
          1.92619762e-02          2.96799538e-01
          1.93386785e-02          2.96617769e-01
          1.94156862e-02          2.96435304e-01
          1.94930006e-02          2.96252140e-01
          1.95706228e-02          2.96068275e-01
          1.96485542e-02          2.95883705e-01
          1.97267958e-02          2.95698429e-01
          1.98053491e-02          2.95512444e-01
          1.98842151e-02          2.95325747e-01
          1.99633952e-02          2.95138335e-01
          2.00428906e-02          2.94950207e-01
          2.01227025e-02          2.94761359e-01
          2.02028323e-02          2.94571788e-01
          2.02832811e-02          2.94381493e-01
          2.03640503e-02          2.94190470e-01
          2.04451411e-02          2.93998717e-01
          2.05265548e-02          2.93806231e-01
          2.06082927e-02          2.93613009e-01
          2.06903562e-02          2.93419049e-01
          2.07727463e-02          2.93224348e-01
          2.08554646e-02          2.93028904e-01
          2.09385123e-02          2.92832713e-01
          2.10218906e-02          2.92635773e-01
          2.11056010e-02          2.92438082e-01
          2.11896447e-02          2.92239635e-01
          2.12740231e-02          2.92040432e-01
          2.13587375e-02          2.91840468e-01
          2.14437892e-02          2.91639742e-01
          2.15291796e-02          2.91438250e-01
          2.16149100e-02          2.91235990e-01
          2.17009818e-02          2.91032958e-01
          2.17873964e-02          2.90829153e-01
          2.18741550e-02          2.90624571e-01
          2.19612592e-02          2.90419209e-01
          2.20487102e-02          2.90213065e-01
          2.21365094e-02          2.90006136e-01
          2.22246582e-02          2.89798418e-01
          2.23131581e-02          2.89589910e-01
          2.24020104e-02          2.89380608e-01
          2.24912165e-02          2.89170509e-01
          2.25807778e-02          2.88959611e-01
          2.26706957e-02          2.88747910e-01
          2.27609717e-02          2.88535404e-01
          2.28516072e-02          2.88322089e-01
          2.29426036e-02          2.88107964e-01
          2.30339624e-02          2.87893024e-01
          2.31256850e-02          2.87677267e-01
          2.32177728e-02          2.87460691e-01
          2.33102273e-02          2.87243291e-01
          2.34030499e-02          2.87025066e-01
