# Convolution of a Gaussian source with Zheleznyak and two-stream kernels
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# Source: Gaussian centred at 0.3*x_max, sigma = 0.04*x_max
# x_max = 1.523680e+02 Pa m  (= 4 / lambda1)
# All convolution values normalised by max(conv_zheleznyak)
# 
# Columns:
#   x                  : reduced coordinate p_O2*r  [Pa m]
#   source             : normalised Gaussian source (max = 1)  [dimensionless]
#   conv_zheleznyak    : photoionisation rate, Zheleznyak kernel, normalised  [dimensionless]
#   conv_twostream     : photoionisation rate, two-stream kernel, normalised  [dimensionless]
#
#                      x                  source         conv_zheleznyak          conv_twostream
          4.45148581e+01          9.62402922e-01          9.75682852e-01          9.75791195e-01
          4.47692287e+01          9.76588394e-01          9.84879880e-01          9.84986711e-01
          4.50235993e+01          9.87536549e-01          9.91959595e-01          9.92065255e-01
          4.52779699e+01          9.95134520e-01          9.96863597e-01          9.96968442e-01
          4.55323406e+01          9.99303478e-01          9.99551194e-01          9.99655590e-01
          4.57867112e+01          1.00000000e+00          1.00000000e+00          1.00010432e+00
          4.60410818e+01          9.97216820e-01          9.98206273e-01          9.98310894e-01
          4.62954524e+01          9.90982954e-01          9.94184965e-01          9.94290255e-01
          4.65498230e+01          9.81363197e-01          9.87969502e-01          9.88075823e-01
          4.68041937e+01          9.68457003e-01          9.79611290e-01          9.79718989e-01
          4.70585643e+01          9.52396772e-01          9.69178960e-01          9.69288364e-01
          4.73129349e+01          9.33345589e-01          9.56757360e-01          9.56868769e-01
          4.75673055e+01          9.11494469e-01          9.42446333e-01          9.42560016e-01
          4.78216761e+01          8.87059171e-01          9.26359289e-01          9.26475473e-01
          4.80760467e+01          8.60276652e-01          9.08621607e-01          9.08740471e-01
          4.83304174e+01          8.31401257e-01          8.89368903e-01          8.89490567e-01
          4.85847880e+01          8.00700705e-01          8.68745193e-01          8.68869711e-01
