# Zheleznyak (1982) absorption curve and two-stream fit
# Generated:  2026-05-05T08:42:07
# Command:    Zheleznyak.py --ngroups 8 --threshold 1E-6 --write-to-file zheleznyak
# ngroups=8,  n_kept=6,  threshold=1.0e-06
# lambda1 = 2.625223e-02 m^-1 Pa^-1,  lambda2 = 1.500128e+00 m^-1 Pa^-1
# RMS relative error = 0.484 %
# 
# Columns:
#   chi            : reduced path length p_O2*r  [Pa m]
#   K_zheleznyak   : Zheleznyak (1982) absorption function  [m^-1 Pa^-1]
#   K_twostream    : two-stream fit, integral-normalised to K_zheleznyak  [m^-1 Pa^-1]
#   group_1_kappa2.689e-02: group 1: kappa=2.6888e-02 m^-1 Pa^-1,  g=1.5808e-02  [m^-1 Pa^-1]
#   group_2_kappa3.061e-02: group 2: kappa=3.0612e-02 m^-1 Pa^-1,  g=5.4157e-02  [m^-1 Pa^-1]
#   group_3_kappa4.482e-02: group 3: kappa=4.4820e-02 m^-1 Pa^-1,  g=1.4351e-01  [m^-1 Pa^-1]
#   group_4_kappa1.002e-01: group 4: kappa=1.0021e-01 m^-1 Pa^-1,  g=2.4996e-01  [m^-1 Pa^-1]
#   group_5_kappa3.157e-01: group 5: kappa=3.1572e-01 m^-1 Pa^-1,  g=3.0500e-01  [m^-1 Pa^-1]
#   group_6_kappa1.007e+00: group 6: kappa=1.0071e+00 m^-1 Pa^-1,  g=2.3157e-01  [m^-1 Pa^-1]
#
#                      chi              K_zheleznyak               K_twostream    group_1_kappa2.689e-02    group_2_kappa3.061e-02    group_3_kappa4.482e-02    group_4_kappa1.002e-01    group_5_kappa3.157e-01    group_6_kappa1.007e+00
            7.81465626e-03            1.46511925e+00            1.46036883e+00            1.71913875e-03            6.70528792e-03            2.60113516e-02            1.01258046e-01            3.88597801e-01            9.36077206e-01
            7.84577466e-03            1.46508452e+00            1.46033532e+00            1.71913731e-03            6.70528153e-03            2.60113153e-02            1.01257730e-01            3.88593983e-01            9.36047870e-01
            7.87701699e-03            1.46504965e+00            1.46030167e+00            1.71913587e-03            6.70527512e-03            2.60112789e-02            1.01257413e-01            3.88590150e-01            9.36018419e-01
            7.90838372e-03            1.46501465e+00            1.46026789e+00            1.71913442e-03            6.70526868e-03            2.60112423e-02            1.01257094e-01            3.88586302e-01            9.35988851e-01
            7.93987536e-03            1.46497950e+00            1.46023398e+00            1.71913296e-03            6.70526222e-03            2.60112056e-02            1.01256775e-01            3.88582438e-01            9.35959167e-01
            7.97149240e-03            1.46494422e+00            1.46019993e+00            1.71913150e-03            6.70525573e-03            2.60111688e-02            1.01256454e-01            3.88578559e-01            9.35929365e-01
            8.00323534e-03            1.46490880e+00            1.46016575e+00            1.71913003e-03            6.70524921e-03            2.60111317e-02            1.01256132e-01            3.88574665e-01            9.35899446e-01
            8.03510468e-03            1.46487324e+00            1.46013144e+00            1.71912856e-03            6.70524267e-03            2.60110946e-02            1.01255809e-01            3.88570756e-01            9.35869408e-01
            8.06710093e-03            1.46483753e+00            1.46009699e+00            1.71912708e-03            6.70523610e-03            2.60110573e-02            1.01255484e-01            3.88566830e-01            9.35839252e-01
            8.09922458e-03            1.46480169e+00            1.46006240e+00            1.71912560e-03            6.70522951e-03            2.60110198e-02            1.01255158e-01            3.88562889e-01            9.35808977e-01
            8.13147616e-03            1.46476570e+00            1.46002767e+00            1.71912411e-03            6.70522289e-03            2.60109822e-02            1.01254831e-01            3.88558933e-01            9.35778582e-01
            8.16385617e-03            1.46472958e+00            1.45999281e+00            1.71912261e-03            6.70521624e-03            2.60109445e-02            1.01254502e-01            3.88554961e-01            9.35748067e-01
            8.19636511e-03            1.46469331e+00            1.45995781e+00            1.71912111e-03            6.70520957e-03            2.60109066e-02            1.01254172e-01            3.88550973e-01            9.35717431e-01
            8.22900350e-03            1.46465689e+00            1.45992268e+00            1.71911960e-03            6.70520287e-03            2.60108685e-02            1.01253841e-01            3.88546969e-01            9.35686675e-01
            8.26177187e-03            1.46462034e+00            1.45988740e+00            1.71911808e-03            6.70519615e-03            2.60108303e-02            1.01253509e-01            3.88542949e-01            9.35655797e-01
            8.29467072e-03            1.46458364e+00            1.45985198e+00            1.71911656e-03            6.70518939e-03            2.60107920e-02            1.01253175e-01            3.88538914e-01            9.35624797e-01
            8.32770057e-03            1.46454679e+00            1.45981643e+00            1.71911504e-03            6.70518261e-03            2.60107535e-02            1.01252840e-01            3.88534862e-01            9.35593675e-01
            8.36086195e-03            1.46450980e+00            1.45978073e+00            1.71911350e-03            6.70517581e-03            2.60107148e-02            1.01252503e-01            3.88530794e-01            9.35562430e-01
            8.39415538e-03            1.46447266e+00            1.45974489e+00            1.71911196e-03            6.70516897e-03            2.60106760e-02            1.01252165e-01            3.88526710e-01            9.35531061e-01
            8.42758139e-03            1.46443538e+00            1.45970891e+00            1.71911042e-03            6.70516211e-03            2.60106370e-02            1.01251826e-01            3.88522610e-01            9.35499569e-01
            8.46114050e-03            1.46439795e+00            1.45967279e+00            1.71910887e-03            6.70515522e-03            2.60105979e-02            1.01251486e-01            3.88518494e-01            9.35467952e-01
            8.49483325e-03            1.46436037e+00            1.45963653e+00            1.71910731e-03            6.70514831e-03            2.60105586e-02            1.01251144e-01            3.88514361e-01            9.35436211e-01
            8.52866016e-03            1.46432264e+00            1.45960012e+00            1.71910575e-03            6.70514136e-03            2.60105192e-02            1.01250800e-01            3.88510212e-01            9.35404344e-01
            8.56262178e-03            1.46428476e+00            1.45956357e+00            1.71910418e-03            6.70513439e-03            2.60104796e-02            1.01250456e-01            3.88506046e-01            9.35372352e-01
            8.59671863e-03            1.46424674e+00            1.45952688e+00            1.71910260e-03            6.70512740e-03            2.60104399e-02            1.01250110e-01            3.88501864e-01            9.35340233e-01
            8.63095125e-03            1.46420856e+00            1.45949004e+00            1.71910102e-03            6.70512037e-03            2.60104000e-02            1.01249763e-01            3.88497665e-01            9.35307987e-01
            8.66532020e-03            1.46417023e+00            1.45945305e+00            1.71909943e-03            6.70511331e-03            2.60103599e-02            1.01249414e-01            3.88493449e-01            9.35275614e-01
            8.69982600e-03            1.46413175e+00            1.45941592e+00            1.71909783e-03            6.70510623e-03            2.60103197e-02            1.01249064e-01            3.88489217e-01            9.35243113e-01
            8.73446920e-03            1.46409312e+00            1.45937864e+00            1.71909623e-03            6.70509912e-03            2.60102793e-02            1.01248712e-01            3.88484968e-01            9.35210484e-01
            8.76925036e-03            1.46405434e+00            1.45934121e+00            1.71909463e-03            6.70509198e-03            2.60102387e-02            1.01248359e-01            3.88480702e-01            9.35177726e-01
            8.80417002e-03            1.46401541e+00            1.45930364e+00            1.71909301e-03            6.70508481e-03            2.60101980e-02            1.01248005e-01            3.88476419e-01            9.35144839e-01
            8.83922873e-03            1.46397632e+00            1.45926592e+00            1.71909139e-03            6.70507762e-03            2.60101572e-02            1.01247649e-01            3.88472119e-01            9.35111822e-01
            8.87442704e-03            1.46393707e+00            1.45922805e+00            1.71908976e-03            6.70507039e-03            2.60101161e-02            1.01247292e-01            3.88467802e-01            9.35078675e-01
            8.90976552e-03            1.46389767e+00            1.45919002e+00            1.71908813e-03            6.70506314e-03            2.60100749e-02            1.01246934e-01            3.88463468e-01            9.35045397e-01
            8.94524472e-03            1.46385812e+00            1.45915185e+00            1.71908649e-03            6.70505586e-03            2.60100336e-02            1.01246574e-01            3.88459117e-01            9.35011987e-01
            8.98086519e-03            1.46381841e+00            1.45911353e+00            1.71908484e-03            6.70504855e-03            2.60099920e-02            1.01246212e-01            3.88454749e-01            9.34978446e-01
            9.01662751e-03            1.46377854e+00            1.45907506e+00            1.71908319e-03            6.70504121e-03            2.60099504e-02            1.01245849e-01            3.88450363e-01            9.34944773e-01
            9.05253224e-03            1.46373852e+00            1.45903643e+00            1.71908153e-03            6.70503384e-03            2.60099085e-02            1.01245485e-01            3.88445959e-01            9.34910966e-01
            9.08857994e-03            1.46369834e+00            1.45899766e+00            1.71907986e-03            6.70502644e-03            2.60098665e-02            1.01245119e-01            3.88441538e-01            9.34877026e-01
            9.12477119e-03            1.46365800e+00            1.45895873e+00            1.71907819e-03            6.70501901e-03            2.60098243e-02            1.01244752e-01            3.88437100e-01            9.34842953e-01
            9.16110655e-03            1.46361750e+00            1.45891964e+00            1.71907651e-03            6.70501155e-03            2.60097819e-02            1.01244383e-01            3.88432644e-01            9.34808745e-01
            9.19758660e-03            1.46357684e+00            1.45888040e+00            1.71907483e-03            6.70500406e-03            2.60097394e-02            1.01244013e-01            3.88428170e-01            9.34774401e-01
            9.23421192e-03            1.46353602e+00            1.45884101e+00            1.71907313e-03            6.70499655e-03            2.60096967e-02            1.01243642e-01            3.88423679e-01            9.34739923e-01
            9.27098308e-03            1.46349504e+00            1.45880146e+00            1.71907143e-03            6.70498900e-03            2.60096538e-02            1.01243269e-01            3.88419170e-01            9.34705308e-01
            9.30790067e-03            1.46345389e+00            1.45876176e+00            1.71906973e-03            6.70498142e-03            2.60096108e-02            1.01242894e-01            3.88414642e-01            9.34670557e-01
            9.34496526e-03            1.46341259e+00            1.45872189e+00            1.71906801e-03            6.70497382e-03            2.60095676e-02            1.01242518e-01            3.88410097e-01            9.34635669e-01
            9.38217745e-03            1.46337112e+00            1.45868187e+00            1.71906629e-03            6.70496618e-03            2.60095242e-02            1.01242140e-01            3.88405534e-01            9.34600643e-01
            9.41953782e-03            1.46332949e+00            1.45864170e+00            1.71906457e-03            6.70495851e-03            2.60094807e-02            1.01241761e-01            3.88400953e-01            9.34565479e-01
            9.45704696e-03            1.46328769e+00            1.45860136e+00            1.71906283e-03            6.70495081e-03            2.60094369e-02            1.01241381e-01            3.88396353e-01            9.34530176e-01
            9.49470546e-03            1.46324573e+00            1.45856087e+00            1.71906109e-03            6.70494308e-03            2.60093930e-02            1.01240999e-01            3.88391735e-01            9.34494734e-01
