BOLSIG+ version: 11/2019
Collision input data:
--------------------------------------------------
N2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
--------------------------------------------------
O2                                                              
C:\Users\robertm\OneDrive - SINTEF\bolsigplus122019-win\Lisbon-N2-O2-02June2026.txt
 
 
 
 Conditions
A1     Electric field / N (Td)                                         
A2     Angular frequency / N (m3/s)               0.000    
A3     Cosine of E-B field angle                  0.000    
A4     Gas temperature (K)                        300.0    
A5     Excitation temperature (K)                 300.0    
A6     Transition energy (eV)                     0.000    
A7     Ionization degree                          0.000    
A8     Plasma density (1/m3)                     0.1000E+19
A9     Ion charge parameter                       0.000    
A10    Ion/neutral mass ratio                     1.000    
A11    Coulomb collision model                    1.000    
A12    Energy sharing                             1.000    
A13    Growth model                               1.000    
A14    Maxwellian mean energy (eV)                0.000    
A15    # of grid points                           100.0    
A16    Grid type                                                       
A17    Maximum energy                                                  
A18    Precision                                 0.1000E-09
A19    Convergence                               0.1000E-04
A20    Maximum # of iterations                    2000.    
A21    Mole fraction N2                          0.7900    
A22    Mole fraction O2                          0.2100    
          R#      A1         A16         A17    
         205   283.7       3.000       86.35    
         206   291.7       3.000       86.35    
         207   299.9       3.000       86.35    
         208   308.3       3.000       86.35    
         209   317.0       3.000       86.35    
         210   325.9       3.000       86.35    
         211   335.0       3.000       100.5    
         212   344.4       3.000       100.5    
         213   354.1       3.000       100.5    
         214   364.0       3.000       100.5    
         215   374.2       3.000       100.5    
         216   384.7       3.000       117.1    
         217   395.5       3.000       117.1    
         218   406.6       3.000       117.1    
         219   418.1       3.000       117.1    
         220   429.8       3.000       117.1    
         221   441.9       3.000       117.1    
         222   454.3       3.000       136.3    
         223   467.0       3.000       136.3    
         224   480.1       3.000       136.3    
         225   493.6       3.000       136.3    
         226   507.5       3.000       136.3    
         227   521.7       3.000       158.7    
         228   536.4       3.000       158.7    
         229   551.4       3.000       158.7    
         230   566.9       3.000       158.7    
         231   582.8       3.000       158.7    
         232   599.2       3.000       184.8    
         233   616.0       3.000       184.8    
         234   633.3       3.000       184.8    
         235   651.1       3.000       184.8    
         236   669.3       3.000       184.8    
         237   688.1       3.000       215.1    
         238   707.5       3.000       215.1    
         239   727.3       3.000       215.1    
         240   747.7       3.000       215.1    
         241   768.7       3.000       250.5    
         242   790.3       3.000       250.5    
         243   812.5       3.000       250.5    
         244   835.3       3.000       250.5    
         245   858.8       3.000       250.5    
         246   882.9       3.000       291.6    
         247   907.6       3.000       291.6    
         248   933.1       3.000       291.6    
         249   959.3       3.000       291.6    
         250   986.3       3.000       339.6    
         251   1014.       3.000       339.6    
         252   1042.       3.000       339.6    
         253   1072.       3.000       339.6    
         254   1102.       3.000       395.4    
         255   1133.       3.000       395.4    
         256   1164.       3.000       395.4    
         257   1197.       3.000       395.4    
         258   1231.       3.000       460.3    
         259   1265.       3.000       460.3    
         260   1301.       3.000       460.3    
         261   1337.       3.000       460.3    
         262   1375.       3.000       536.0    
         263   1414.       3.000       536.0    
         264   1453.       3.000       536.0    
         265   1494.       3.000       624.0    
         266   1536.       3.000       624.0    
         267   1579.       3.000       624.0    
         268   1623.       3.000       624.0    
         269   1669.       3.000       726.5    
         270   1716.       3.000       726.5    
         271   1764.       3.000       726.5    
         272   1813.       3.000       845.9    
         273   1864.       3.000       845.9    
         274   1917.       3.000       845.9    
         275   1971.       3.000       845.9    
         276   2026.       3.000       984.9    
         277   2083.       3.000       984.9    
         278   2141.       3.000       984.9    
         279   2201.       3.000       1147.    
         280   2263.       3.000       1147.    
         281   2327.       3.000       1147.    
         282   2392.       3.000       1147.    
         283   2459.       3.000       1335.    
         284   2528.       3.000       1335.    
         285   2599.       3.000       1335.    
         286   2672.       3.000       1555.    
         287   2747.       3.000       1555.    
         288   2824.       3.000       1555.    
         289   2904.       3.000       1810.    
         290   2985.       3.000       1810.    
         291   3069.       3.000       1810.    
         292   3155.       3.000       2107.    
         293   3244.       3.000       2107.    
         294   3335.       3.000       2107.    
         295   3428.       3.000       2454.    
         296   3524.       3.000       2454.    
         297   3623.       3.000       2454.    
         298   3725.       3.000       2857.    
         299   3830.       3.000       2857.    
         300   3937.       3.000       2857.    
         301   4048.       3.000       3326.    
         302   4161.       3.000       3326.    
         303   4278.       3.000       3326.    
         304   4398.       3.000       3872.    
         305   4522.       3.000       3872.    
         306   4649.       3.000       3872.    
         307   4779.       3.000       4509.    
         308   4913.       3.000       4509.    
         309   5051.       3.000       4509.    
         310   5193.       3.000       5249.    
         311   5339.       3.000       5249.    
         312   5489.       3.000       5249.    
         313   5643.       3.000       6112.    
         314   5801.       3.000       6112.    
         315   5964.       3.000       6112.    
         316   6132.       3.000       7116.    
         317   6304.       3.000       7116.    
         318   6481.       3.000       7116.    
         319   6663.       3.000       8285.    
         320   6850.       3.000       8285.    
         321   7042.       3.000       8285.    
         322   7240.       3.000       9647.    
         323   7443.       3.000       9647.    
         324   7652.       3.000      0.1000E+05
         325   7867.       3.000      0.1000E+05
         326   8088.       3.000      0.1000E+05
         327   8315.       3.000      0.1000E+05
         328   8548.       3.000      0.1000E+05
         329   8788.       3.000      0.1000E+05
         330   9035.       3.000      0.1000E+05
         331   9288.       3.000      0.1000E+05
         332   9549.       3.000      0.1000E+05
         333   9817.       3.000      0.1000E+05
         334  0.1009E+05   3.000      0.1000E+05
         335  0.1038E+05   3.000      0.1000E+05
         336  0.1067E+05   3.000      0.1000E+05
         337  0.1097E+05   3.000      0.1000E+05
         338  0.1127E+05   3.000      0.1000E+05
         339  0.1159E+05   3.000      0.1000E+05
         340  0.1192E+05   3.000      0.1000E+05
         341  0.1225E+05   3.000      0.1000E+05
